Model,Question,Reference_Answer,Generated_Answer,BLEU,ROUGE-L,BERTScore_F1,Judge_Factual (1-10),Judge_Format (1-10),Generation_Time(s)
lora_deepbac_model_llama,اشرح ما تحته خط في النص: هيئة الأمم المتحدة,تنظيم دولي يضم جميع الدول المستقلة تأسس في 31/01/1945 بغرض الحفاظ على السلم والأمن العالميين وتنظيم العلاقات الدولية، مقره نيويورك.,هيئة سياسية دولية تأسست عام 1945 بعد الحرب العالمية الثانية، تهدف إلى الحفاظ على السلام والأمن الدوليين، وتعزيز التعاون بين الدول.,0.0,0.5,0.7956,8.5,9.0,3.22
lora_deepbac_model_llama,اشرح مفهوم القومية العربية.,القومية العربية هي أيديولوجية تهدف إلى توحيد الشعوب العربية في دولة واحدة أو كيان سياسي موحد، بناءً على اللغة والثقافة والتاريخ المشترك، وقد برزت في القرن التاسع عشر وازدهرت في القرن العشرين.,القومية: حركة فكرية وسياسية ظهرت في القرن التاسع عشر تهدف إلى احتراز الوحدة والتفاهم بين الشعوب العربية وتحريرها من الاستعمار.,0.0937,0.0,0.7694,8.5,9.0,3.69
lora_deepbac_model_llama,ما هي أهم الإصلاحات الأمنية في الجزائر؟,الإصلاحات: تعزيز الأمن، مكافحة الإرهاب، وتحسين الاستقرار.,الإصلاحations: تعزيز الأمن، مكافحة التerrorism، وprotecting the citizens.,0.2778,0.0,0.8754,7.0,7.0,2.11
lora_deepbac_model_llama,اشرح ما تحته خط في النص: الطاقة,الموارد الطبيعية (المحروقات) المحركة للعمليات الإنتاجية وتنقسم إلى قسمين: طاقة متجددة مثل الماء والشمس والرياح، وطاقة غير متجددة مثل البترول والغاز الطبيعي وهي المحرك الأساسي للاقتصاد العالمي.,الطاقة: مصدر أساسي للنشاط الاقتصادي والصناعي والتكنولوجي، ويعتمد عليه كل القوى العاملة لإتمام مهامه، ويقوم على المواد الأولية الخام (الفحم الحجاري، الزيتون، الغاز الطبيعي) التي تعتمد إنتاجها على المناخ والمساحة.,0.0,0.0,0.718,5.5,7.0,5.82
lora_deepbac_model_llama,اشرح مصطلح: التجارة الدولية.,المبادلات (الصادرات والواردات) التي تتم بين دولتين أو مجموعة من الدول وتنظمها الاتفاقيات والمعاهدات.,تبادل السلع والخدمات والأموال والاستثمارات والمهارات بين دول العالم.,0.0,0.0,0.7623,8.5,9.0,1.89
lora_deepbac_model_llama,ما هي أهم الإصلاحات الاجتماعية في الجزائر؟,الإصلاحات: تحسين مستوى المعيشة، دعم الفئات الهشة، وتعزيز التضامن.,الإصلاحيات: تعزيز الحقوق sociales، تحسين الظروف المعيشة for the poor، and developing social services.,0.0,0.0,0.8234,7.5,4.0,2.29
lora_deepbac_model_llama,ما هي أهم التحديات التي واجهت الجزائر بعد الاستقلال؟,التحديات: بناء المؤسسات، التنمية الاقتصادية، الوحدة الوطنية، ومكافحة الفساد.,الأهمITY: التنمية الاقتصادية والاجتماعية، استعادة السيادة على التراب الوطني، مكافحة الاحتكارات الفرنسية، بناء الدولة الحديثة، والحرب الباردة.,0.0,0.0,0.8244,7.5,9.0,3.25
lora_deepbac_model_llama,اشرح مصطلح الأحلاف العسكرية.,تكتلات عسكرية ظهرت مع اشتداد الحرب الباردة وهي استراتيجية تبناها المعسكران الشرقي والغربي في إطار الحرب الباردة وتقوم على مبدأ الدفاع المشترك مثل حلف شمال الأطلسي وحلف وارسو.,الأحلاف العَسْكَرِيَّة: شُرَع في تكوونها بعد المواجهة العسکرية بين المعسكرين الشرقي والغربي في إطار الحرب الباردة، مثل حلف بغداد (الشرق) وحلف شمال الأطلسي (الغرب).,0.1566,0.0,0.7727,6.5,8.5,4.81
lora_deepbac_model_llama,اشرح مصطلح الدول المتخلفة.,الدول المتخلفة: تسمية تطلق على الدول المستقلة حديثا من إفريقيا وآسيا وأمريكا اللاتينية والتي تعاني من التخلف الاقتصادي والتأخر الاجتماعي والثقافي وضعف التحكم في التكنولوجيا.,الدول المتخلفة: دول العالم الثالث التي تعاني من تخلف اقتصادي واجتماعي وتركيبي، حيث تعتمد على الصناعات الأولية والزراعة التقليدية، وتتميز بانخفاض الدخل الفردي وسوء التغذية وضعف التعليم.,0.0,0.0,0.7711,7.5,9.5,4.53
lora_deepbac_model_llama,اشرح ما تحته خط في النص: الاستقلال الوطني,الاستقلال الوطني هو الهدف النهائي للثورة الجزائرية، ويعني تحرير الجزائر من الاستعمار الفرنسي، واستعادة السيادة الكاملة على أراضيها ومواردها، وإقامة دولة جزائرية مستقلة ذات سيادة، وقد تحقق في 5 يوليو 1962.,الاستقلال الوطني هو مفهوم ظهر خلال الثورة التحريرية الجزائرية ويعني استعادة السيادة الوطنية للمغرب العربي على أراضيه وأموره بعد انهيار الاستعمار والتحول إلى دولة مستقلة ذات سيادة.,0.0,0.0,0.823,5.0,9.0,3.41
lora_deepbac_model_llama,اشرح ما تحته خط في النص: جيش التحرير الوطني,جيش التحرير الوطني هو الجناح العسكري لجبهة التحرير الوطني الجزائرية، الذي تشكل خلال ثورة التحرير الجزائرية (1954-1962)، وكان مسؤولاً عن العمليات العسكرية ضد الاستعمار الفرنسي، وتم تنظيمه وتقسيمه إلى ولايات خلال مؤتمر الصومام.,جيش الت حرير الوطني هو التنظيم العسكري للثورة الجزائرية، تأسس رسمياً في 22 أكتوبر 1954، قاد الثورة حتى الاستقلال، وقاد المفاوضات مع الفرنسيين لإنهاء الحرب، ويعتبر المؤسس الحقيقي للدولة الجزائرينة بعد الاستقلال.,0.0,0.5,0.7648,6.0,9.0,5.41
lora_deepbac_model_llama,اشرح المصطلحات التالية: حركة عدم الانحياز، سياسة الاحتواء، حلف وارسو.,حركة عدم الانحياز: تيار سياسي ظهر خلال الحرب الباردة، يضم دولًا رفضت الانحياز لأي من المعسكرين الشرقي بقيادة الاتحاد السوفيتي والغربي بقيادة الولايات المتحدة. سياسة الاحتواء: استراتيجية أمريكية تهدف إلى منع انتشار الشيوعية خارج حدودها. حلف وارسو: حلف عسكري تأسس عام 1955 بقيادة الاتحاد السوفيتي، كرد فعل على حلف الناتو.,حركة عدم الحزب: تكتل دولي تأسس عام 1961 بمبادرة من جمال عبد الناصر وجوزيف بروز تيتو وجواهر لال نهرو، يتكون من الدول المستقلة التي تبنت سياسة الحياد الإيجابي تجاه صراع الحرب الباردة. سياسة الأحتواء: استراتيجية أمريكية ظهرت في بداية الحرب البARDة، تهدف إلى منع انتشار الشيوعية والنفوذ السوفيتي إلى مناطق جديدة، وذلك عبر الدعم العسكري والاقتصادي للدول المعرضة للخطر. حلف وراوس (شرق): تحالف عسكري تأسسه الاتحاد السوفياتي عام 1955، ضم دول أوروبا الشرقية الشيوعبية، كرد فعل على انضمام ألمانيا الغربية إلى NATO.,0.0853,0.4,0.7621,8.5,10.0,11.59
lora_deepbac_model_llama,عرف بالشخصية: أحمد سوكارنو,1931-1973، رئيس أندونيسيا (1945/1967)، ترأس مؤتمر باندونغ الذي احتضنه بلده عام 1955 للمتضامن الأفروآسيوي، أحد مؤسسي حركة عدم الانحياز.,رئيس دولة إندونيسيا (1949/1967) صاحب مبدأ سوكار诺 1955 والذي قسم العالم إلى معسكرين، أحد مؤسسي حركة عدم الانحياز، قائد الثورة الإندونيزية ضد الاستعمار الهولندي، من دعاة التحرر والعالم الثالث وحقوق الأمم.,0.1039,0.5,0.7939,7.5,7.0,4.86
lora_deepbac_model_llama,ما هي أهم الإصلاحات البيئية في الجزائر؟,الإصلاحات: حماية البيئة، مكافحة التلوث، وتعزيز التنمية المستدامة.,الإصلاحيات: حماية الموارد الطبيعية، مكافحة التلوث، تعزيز التنمية المستدامة، وزيادة الوعي بيئة.,0.0,0.0,0.9509,8.5,9.0,3.08
lora_deepbac_model_llama,ما هي أهم المحطات التاريخية في الثورة الجزائرية؟,المحطات: اندلاع الثورة في 1 نوفمبر 1954، مؤتمر الصومام 1956، معركة الجزائر 1957، إضراب الثمانية أيام 1957، واتفاقيات إيفيان 1962.,الأهمITY: 19/12/1954 (انطلاقة الثورة) - 18/03/1962 (إعلان وقف إطلاق النار) -10/12 /1960 (تشكل جبهة التحرير الوطني) -17/04/1956 (ميثاق الصومام) -22/10/1958 (إنشاء حكومة وlis) -19/09/1959 (تأسيس جيش التحرر الوطني).,0.0,0.1538,0.7015,2.0,5.0,7.18
lora_deepbac_model_llama,اشرح مصطلح: حلف شمال الأطلسي (الناتو),حلف شمال الأطلسي (الناتو) هو تحالف عسكري غربي تأسس عام 1949 بموجب معاهدة واشنطن، يضم الولايات المتحدة وكندا ودول أوروبا الغربية، ويهدف إلى الدفاع الجماعي ضد أي هجوم مسلح على أي من أعضائه، وكان مواجهاً للمعسكر الشيوعي بقيادة الاتحاد السوفيتي.,حلف عسكري غربي تأسس عام 1949 بمبادرة من الولايات المتحدة، هدفه تنظيم الدفاع العسكري للآلة الأوروبية ضد المد الشيوعي في إطار الحرب الباردة.,0.0831,1.0,0.7808,8.5,9.0,3.75
lora_deepbac_model_llama,ما هي أهم الإصلاحات الضريبية في الجزائر؟,الإصلاحات: تحسين النظام الضريبي، مكافحة التهرب، وزيادة العدالة.,الإصلاحيات: تحسين النظام الضريبي، مكافحة التهرب، عقلنة الضرائب، وزيادة العدالة.,0.5311,0.0,0.9641,9.5,9.5,2.51
lora_deepbac_model_llama,أكمل الجدول: الحدث وتاريخه: إعلان مبدأ ترومان,12/03/1947,الحدث: إغراق اليونان وتركيا بمواد الاستعمارية (5200 طائرة، 350 دبابة، 1034 بندقية) بهدف استعادة السيادة على البحار والمحيطات وإقامة قواعد عسكرية في المنطقة (21 قاعدة عسکرية).,0.0,0.0,0.5456,1.0,2.0,4.4
lora_deepbac_model_llama,ما هي أهم الإنجازات الاقتصادية في الجزائر؟,الإنجازات: تطوير قطاع النفط والغاز، بناء البنية التحتية، وتحسين مستوى المعيشة.,الإنجازات: تنويع الاقتصاد، تحسين الخدمات العامة، وزيادة الاستثمارات.,0.0,0.0,0.8513,5.0,9.0,2.05
lora_deepbac_model_llama,ما هي أهم الإصلاحات الرياضية في الجزائر؟,الإصلاحات: دعم الرياضة، تطوير البنية التحتية، وتحسين الأداء.,الإصلاحيات: دعم الرياضة، بناء الاستadia، الترويض الرياضي للشباب، تنظيم الكؤوس، وتطوير الرياضة.,0.0,0.0,0.8425,9.5,10.0,2.91
lora_deepbac_model_llama,اشرح مصطلح: القطبية الثنائية,القطبية الثنائية هي نظام دولي ظهر بعد الحرب العالمية الثانية، يتميز بوجود قوتين عظميين هما الولايات المتحدة والاتحاد السوفيتي، حيث انقسم العالم إلى معسكرين متعارضين أيديولوجياً وسياسياً وعسكرياً، مع هيمنة هاتين القوتين على العلاقات الدولية.,القطبية الثانوية هي نظام دولي ظهر بعد الحرب العالمية الثانية، يتميز بإقامة قطبين عظميين هما الولايات المتحدة والاتحاد السوفيتي، تتنافسان على الهيمنة الدولية.,0.3438,0.0,0.8301,7.0,9.0,3.83
lora_deepbac_model_llama,ما هي أهم الإصلاحات الإدارية في الجزائر؟,الإصلاحات: تحديث الإدارة، مكافحة البيروقراطية، وتحسين الخدمات العامة.,الإجابة: الإصلاح التنظيمي، تحسين الكفاءة، مكافحة البيروقراطية.,0.0,0.0,0.8613,8.5,9.0,2.38
lora_deepbac_model_llama,اشرح مصطلح 'حركات التحرر'.,حركات التحرر: رد فعل شعوب المستعمرات في كل من إفريقيا وآسيا وأمريكا اللاتينية على الوجود الاستعماري، اتخذت أشكالاً متعددة سياسية وعسكرية، تهدف إلى الاستقلال واسترجاع السيادة الوطنية.,نشاط سياسي وثقافي وعسكري قام به الشعبون ضد الاستعمار في إفريقيا وآسيا (الاستقلال الثوري).,0.0,0.0,0.7901,7.0,8.5,2.94
lora_deepbac_model_llama,اكتب مقالا تاريخيا تبين فيه رد فعل الثورة الجزائرية على هذه الإجراءات.,رد فعل الثورة الجزائرية على هذه الإجراءات: تكثيف النشاط الدبلوماسي للتعريف بالقضية الجزائرية في المحافل الدولية (مؤتمر باندونغ 1955، الأمم المتحدة)، النشاط الإعلامي لتفنيد الدعاية الفرنسية وتأكيد شرعية الثورة (إذاعة صوت الجزائر، جريدة المجاهد)، المشاركة في المهرجانات العالمية (رياضية، ثقافية)، إنشاء الحكومة المؤقتة للجمهورية الجزائرية 1958، إنشاء جيش الحدود للتكفل بجلب الأسلحة والمؤونة من الخارج، إنشاء فدرالية جبهة التحرير في فرنسا (تعبئة المهاجرين لدعم الثورة).,رد فعل ثورة التحرير على إجراءات الاستعمار: سياسة الأرض المحروقة، عمليات تعقيم وترحيل، احتكار الموارد والصناعات، الهيئات الاحتكارية (البلدية، القطر)، إنشاء المناطق العسكرية والمستعمرة، تقسيم التراب الوطني إلى ولايات وحواضر، استغلال الرعب والعنصرية لإثقال كاهل الشعب.,0.0,0.0,0.7302,1.0,2.0,7.22
lora_deepbac_model_llama,عرف الشخصية: عبان رمضان,(1920-1957)، مناضل في صفوف حربة الانتصار للحريات الديمقراطية، عضو في المنظمة الخاصة 1947، التحق بالثورة في 1955، شارك في التحضير لمؤتمر الصماد 1956، استشهد في 1957.,(1923-1978) أحد قادة الثورة الجزائرية، عضو في مجموعة الـ 22 التاريخية ثم مجموعة ال– 18 التي نظمت الانطلاقة الكبرى للثورة في 20/08/1954 (operationt start)، وعضو في جبهة التحرير الوطني، ووزيرا للدفاع والسياسة الاجتماعية في الحكومة المؤقتة، وأحد المفكرين الرئيسيين للثورات التحررية.,0.0,0.0,0.7204,2.5,7.5,6.88
lora_deepbac_model_llama,اشرح مصطلح تكنولوجيا المعلومات.,استخدام التطور التقني في المجال التكنولوجي (52.0) لنقل المعلومات (52.0) بسرعة فائقة وغزارة ربحا للجهد والوقت (5205).,تكنولوجیا المعلومات: قطاع يشمل التطورات الكبيرة في مجال الحوسبة والاتصالات، مما أدى إلى زيادة تدفق البيانات والمعلومات على شبكة الإنترنت.,0.0,0.0,0.6911,8.0,9.0,3.22
lora_deepbac_model_llama,انطلاقا من الفقرة واعتمادا على ما درست اكتب مقالا جغرافيا تبين فيه مظاهر التكامل والاندماج داخل الاتحاد الأوروبي,مظاهر التكامل والاندماج داخل الاتحاد الأوروبي: إقامة سوق مشتركة، إنشاء عملة موحدة (اليورو)، حرية تنقل السلع والأشخاص والخدمات ورؤوس الأموال، سياسة زراعية مشتركة، مؤسسات مشتركة (البرلمان الأوروبي، المفوضية الأوروبية، محكمة العدل الأوروبية).,مظاهر تكامل واندماج في الاتحاد الأировني: سياسة الاقتصاد المشترك (اليورو، القطاعات الصناعية والمالية)، حركة الأشخاص، البضائع والأموال (الحرية الاقتصادية)، سياسات الخدمات العامة المشتركة (الصحة، التعليم)، السياحة والتسوق الجماعي.,0.0,0.0,0.7965,6.0,4.0,5.56
lora_deepbac_model_llama,تعرف بالشخصية: جون كنيدي,رئيس الولايات المتحدة الأمريكية، عايش عدة أزمات أهمها أزمة كوبا 1962، واجه المعسكر الشرقي في صراع الحرب الباردة، دافع عن الزنوج وحارب التمييز العنصري، قام بسياسة غزو الفضاء والسباق العلمي مع الاتحاد السوفياتي، ساند الثورة الجزائرية، اغتيل في دالاس عام 1963.,الرئيس الخامس والثلاثون للولايات المتحدة الأمريكية (1961-1963)، قائد الحلفاء في أوروبا خلال الحرب الباردة، صاحب مبدأ الصواريخ المتوسطة (1957) الذي أدى إلى سباق التسلح، مرشح حزب الديمقراطين للنقابته الأولى عام 1960، رجل دولة أمريكاوي شهير، وعرفت حكمه أزمة الصوامد وسوق شال وغرب إفريقيا، وأصبح ضحية اغتيال في دالاس (تكساس) عام 63.,0.0,0.2857,0.7311,4.0,4.0,8.02
lora_deepbac_model_llama,اشرح مصطلح: سباق التسلح,سباق التسلح هو تنافس بين الولايات المتحدة والاتحاد السوفيتي خلال الحرب الباردة لتطوير أسلحة نووية وتقليدية بكميات هائلة، بهدف تحقيق التفوق العسكري.,سباق الترسانة أو التسلّح هو تنافس شديد بين الولايات المتحدة والاتحاد السوفيتي خلال الحرب الباردة في تطوير الأسلحة التقليدية والنووية، بهدف تحقيق التفوق العسكري، مما أدى إلى تراكم ذخائر أسلحة دمار شامل وزيادة التوتر الدولي.,0.2509,0.0,0.8728,10.0,10.0,5.68
lora_deepbac_model_llama,ما هي أهم السياسات الحكومية لمواجهة التحديات الاقتصادية؟,السياسات: التنويع الاقتصادي، دعم القطاع الخاص، وتحسين مناخ الاستثمار.,سياسة تحسين المناخ الاستثمي، سياسة تنويع الأنشطة الاقتصادية، سياسية توفير اليد العاملة الكفنية والمهيكلة، سياسات حيوية اقتصادية (قانون إغراء التكنولوجيا والاستثمارات)، سياسة مكافحة الترهيب الدولي وإزالة الشبكة.,0.0,0.0,0.7704,6.5,8.0,5.29
lora_deepbac_model_llama,ما هي أهم الإصلاحات التشريعية في الجزائر؟,الإصلاحات: تحديث القوانين، تحسين البيئة القانونية، وحماية الحقوق.,الإصلاحيات: تحديث القوانين، تعزيز الحقوق، وزيادة الكفاءة.,0.0,0.0,0.9363,7.5,9.0,2.07
lora_deepbac_model_llama,اشرح مصطلح: الحرب الباردة,الحرب الباردة هي صراع أيديولوجي وسياسي وعسكري بين المعسكر الشرقي بقيادة الاتحاد السوفيتي والمعسكر الغربي بقيادة الولايات المتحدة الأمريكية، استمر من نهاية الحرب العالمية الثانية حتى انهيار الاتحاد السوفيتي عام 1991، وتميز بالسباق نحو التسلح والتنافس على مناطق النفوذ دون مواجهة عسكرية مباشرة.,الحرب الباردَة: صراع سياسي وعسكري وأيديولوجي بين المعسكرين الشرقي (الاتحاد السوفيتي) والغربي (الولايات المتحدة الأمريكية) بعد الحرب العالمية الثانية، دون مواجهة عسكرية مباشرة بينهما، واستمر حتى حله عام 1991.,0.0885,1.0,0.8391,8.5,9.0,5.22
lora_deepbac_model_llama,اشرح مصطلح الشركات متعددة الجنسيات.,الشركات متعددة الجنسيات: شركات عمالقة ذات رؤوس أموال ضخمة وإمكانيات تكنولوجية هائلة، لها فروع في مختلف أنحاء العالم متعددة الوظائف والجنسيات، تسيطر على الأسواق العالمية ويتعدى نشاطها المجال الاقتصادي.,شركات عابرة للقارات (متعددة الجنسية) وهي شركات عمالقة اقتصادية تعمل في أكثر من دولة ولها دور كبير في الاقتصاد العالمي وتنشط في مجالات مختلفة مثل الصناعة والخدمات والتكنولوجيا... لها سيطرة على الأسواق العالمية وسوق المال وصناع المعرفة...,0.0,0.0,0.7606,8.5,9.0,5.68
lora_deepbac_model_llama,ما هي أهم الإصلاحات الجمركية في الجزائر؟,الإصلاحات: تبسيط الإجراءات، تحسين الكفاءة، ومكافحة التهريب.,الإجابة: الإصلاحيون: تحرير التجارة، تحسين الكفاءة، دعم الابتكار.,0.0,0.0,0.8236,2.5,7.5,2.22
lora_deepbac_model_llama,أكمل الجدول: حدث توحيد الألمانيتين,تاريخه: 3 أكتوبر 1990,تاريخه: 23/10/2003,0.0,0.0,0.8722,1.0,7.0,1.3
lora_deepbac_model_llama,ما هي أهم المعارك في الثورة الجزائرية؟,المعارك: معركة الجزائر، معركة سيدي فرج، معركة جبل الأبيض، ومعركة وادي زم.,المعارك: معركة أوليس، معركتين قسنطينة، معركتي العقبة والمداوara، وادي سوف، الأور، شالوع، عين طيفي، جبل الشريف.,0.0,0.0,0.7989,1.0,5.0,3.9
lora_deepbac_model_llama,ما هي أهم الإصلاحات الصحية في الجزائر؟,الإصلاحات: توسيع التغطية، تحسين الخدمات، وتطوير البنية التحتية.,الإصلاحيات: توسيع التغطية الصحية، تحسين الخدمات، وزيادة الاستثمار.,0.0,0.0,0.9251,8.0,9.0,2.21
lora_deepbac_model_llama,اشرح ما تحته خط في النص: التجارة الخارجية,التجارة الخارجية هي تبادل السلع والخدمات بين الدول، وتشمل الصادرات والواردات. في سياق النص، تعاني الدول النامية من علاقات تجارية غير متكافئة، حيث تصدر المواد الخام بأسعار منخفضة وتستورد السلع المصنعة بأسعار مرتفعة.,التبادل التجاري بين البلاد والشعوب (الصادرات والواردات) وتنظيمه، وهو أحد أهم قطاعات الاقتصاد العالمي.,0.0,0.0,0.7327,7.0,9.0,2.91
lora_deepbac_model_llama,اكتب مقالا جغرافيا تبين فيه الصعوبات الاقتصادية التي تواجه بلدان العالم المتخلف.,الصعوبات الاقتصادية التي تواجه بلدان العالم المتخلف: (لم تذكر في النص المقدم، ولكن بناءً على السياق العام، يمكن ذكر صعوبات مثل: ضعف البنية التحتية، نقص رؤوس الأموال، التبعية الاقتصادية، ضعف التصنيع، المديونية الخارجية، التخلف التكنولوجي، ضعف الموارد البشرية المؤهلة، عدم استقرار الأسواق العالمية للمواد الأولية).,الصعوبت الاقتصادية: ضعف إنتاجية الأراضي وعدم كفايتها لتلبية احتياجات السكان، فشل صناعات التحويل والصناعية الخفيفة في توفير سلع وبضائع ذات جودة عالية، عجز ميزان التجارة الخارجية وسقوط رؤوس الأموال الخارجية، ارتفاع نسب البطالة والمساهمة في التضخم، الاعتماد على تصدير واحد أو几个 المنتجات الخام ذات القيمة الاقتصادية المنخفضة.,0.0,0.0,0.7654,8.0,2.5,6.78
lora_deepbac_model_llama,عرف الشخصية التالية: هاري ترومان,رئيس الولايات المتحدة الأمريكية (1945-1953)، وافق على استخدام القنبلة الهيدروجينية على اليابان خلال الحرب العالمية الثانية، أحد أقطاب الحرب الباردة، وصاحب مبدأ حمل اسمه (مبدأ ترومان 1947)، وتدخل عسكريا في كوريا، وعرف بدعمه الشديد لليهود.,رئيس الولايات المتحدة الأمريكية (1945-1953)، أحد مؤسسي نظام الحرب الباردة، صاحب مبدأ يحمل اسمه 1947 والذي يتضمن تقديماً عسكرياً واقتصادياً لدول العالم الثالث، قائد الحلفاء في كوريا عام 1950، أمر بقنبلة هيروشيما وناجازاكي بالقنابل الذهرية الأولى في التاريخ.,0.2358,0.8571,0.7709,7.5,9.0,5.49
lora_deepbac_model_DeepSeek,اشرح مصطلح: سيطرة الدولار,سيطرة الدولار على 65% من احتياطي صرف العملات.,تأثير العرضية الدولية للدولار في أسعاره وتأثيره على أسعار المواد الأولية وسوق التجارة العالمية، وأثره في أسواق الأسهم والبورصات العالمية مثل بورصة نيويورك.,0.0,0.0,0.7,7.0,6.0,2.92
lora_deepbac_model_DeepSeek,عرف بالشخصيات التالية: هاري ترومان,الرئيس الثالث والثلاثون للولايات المتحدة الأمريكية (1945-1953)، اشتهر بسياسة الاحتواء تجاه الاتحاد السوفيتي، وأعلن مبدأ ترومان لدعم اليونان وتركيا ضد الشيوعية، وأطلق مشروع مارشال لإعادة إعمار أوروبا.,حلف مالطا (1954) - حلف الراين (1863) - مؤتمر برلين (10/1948) - سبع مصانع الو 1961,0.0,0.0,0.6532,0.0,1.0,3.5
